date_time_UTC,latitude_deg,longitude_deg,depth_km,magnitude_value,magnitude_type,region
2025-09-20 04:46:34,24.126,126.301,10,4.9,mb,"RYUKYU ISLANDS, JAPAN"
2025-09-20 04:02:30,29.600,129.700,0,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-19 18:20:30,36.200,141.000,40,3.3,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-19 18:18:30,36.200,141.000,40,3.2,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-19 18:02:15,36.194,140.846,39,4.6,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-19 17:38:38,28.001,139.669,504,4.1,mb,"BONIN ISLANDS, JAPAN REGION"
2025-09-19 14:01:30,31.300,129.900,10,3.2,M,"KYUSHU, JAPAN"
2025-09-19 01:53:30,29.600,129.700,0,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-19 00:57:30,33.900,132.300,40,3.1,M,"SHIKOKU, JAPAN"
2025-09-19 00:19:30,29.600,129.800,10,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-19 00:10:30,29.800,130.000,10,3.4,M,"RYUKYU ISLANDS, JAPAN"
2025-09-18 23:11:30,29.600,129.800,0,3.5,M,"RYUKYU ISLANDS, JAPAN"
2025-09-18 23:07:30,29.600,129.900,0,3.6,M,"RYUKYU ISLANDS, JAPAN"
2025-09-18 18:39:19,35.486,141.011,25,4.5,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-18 16:46:30,29.600,129.800,0,3.1,M,"RYUKYU ISLANDS, JAPAN"
2025-09-18 15:24:30,35.500,139.600,70,3.3,M,"NEAR S. COAST OF HONSHU, JAPAN"
2025-09-18 10:06:30,32.000,131.900,30,4.1,M,"KYUSHU, JAPAN"
2025-09-18 02:35:30,39.800,141.800,60,3.3,M,"EASTERN HONSHU, JAPAN"
2025-09-17 23:15:30,29.600,129.700,10,3.5,M,"RYUKYU ISLANDS, JAPAN"
