date_time_UTC,Month,latitude_deg,longitude_deg,dist_to_Tokyo_km,depth_km,magnitude_value,magnitude_type,Category,place,region,data_source
2025-10-01 14:50:05,October,38.719,141.967,395.66,60.0,4.8,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-29 17:28:03,September,37.979,143.887,455.74,10.0,4.6,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-29 14:33:30,September,37.8,141.7,298.53,60.0,4.0,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-29 10:36:30,September,37.8,137.4,309.75,10.0,3.6,M,weak,"NEAR WEST COAST OF HONSHU, JAPAN",NEAR WEST COAST OF HONSHU,EMSC
2025-09-29 07:56:06,September,31.39,138.55,487.4,300.0,4.0,mb,moderate,"IZU ISLANDS, JAPAN REGION",IZU ISLANDS,EMSC
2025-09-28 21:23:50,September,24.409,123.321,2004.98,55.0,4.5,Mw,moderate,"SOUTHWESTERN RYUKYU ISL., JAPAN",SOUTHWESTERN RYUKYU ISL.,EMSC
2025-09-28 12:35:30,September,29.6,129.8,1142.28,10.0,3.4,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-28 03:11:30,September,36.6,140.9,152.14,50.0,3.2,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-28 02:45:40,September,41.43,142.15,675.61,50.0,3.7,M,weak,"HOKKAIDO, JAPAN REGION",HOKKAIDO,EMSC
2025-09-28 01:42:30,September,35.5,137.4,204.4,60.0,3.0,M,weak,"EASTERN HONSHU, JAPAN",EASTERN HONSHU,EMSC
2025-09-28 01:36:37,September,37.679,144.251,466.76,9.0,4.5,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-27 13:37:18,September,37.78,144.215,469.2,12.0,4.8,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-26 10:34:29,September,37.783,144.185,467.04,10.0,4.6,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-26 06:52:30,September,32.8,130.6,890.84,10.0,3.0,M,weak,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-26 01:58:30,September,35.0,140.0,81.64,60.0,3.9,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-25 17:01:03,September,30.959,140.045,525.83,10.0,4.6,mb,moderate,"IZU ISLANDS, JAPAN REGION",IZU ISLANDS,EMSC
2025-09-25 00:14:29,September,37.839,144.135,466.25,10.0,4.6,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-24 18:03:16,September,38.941,142.093,422.4,55.0,4.6,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-24 12:17:30,September,35.7,139.8,13.8,70.0,3.5,M,weak,"NEAR S. COAST OF HONSHU, JAPAN",NEAR S. COAST OF HONSHU,EMSC
